,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
1696,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey with 'don't know' or missing information on fluids given,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LDK,88260009,94136070,,,,S,0,Feeding practices during diarrhea: don't know or missing on fluids given,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLDK,"Amount of liquids given, Don't know",20
1697,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey: Total,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LTO,88149000,94136080,,,,T,0,Feeding practices during diarrhea: Total,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLTO,"Amount of liquids given, Total",20
1698,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received an increased amount of food,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FMR,88261001,94136090,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Increased amount of food,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFMR,"Amount of food given, More ",20
1699,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received the same amount of food,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FSM,88261000,94136100,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Same amount of food,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFSM,"Amount of food given, Same as",20
1700,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received somewhat less food,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FLS,,94136110,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Somewhat less food,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFLS,"Amount of food given, Somewhat less",20
1701,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received much less food,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FML,,94136120,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Much less food,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFML,"Amount of food given, Much less ",20
1702,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received a decreased amount of food,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FDC,88261002,94136130,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Decreased amount of food,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFDC,"Amount of food given, Decreased amount of food",20
1703,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who stopped receiving food completely,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FNO,88261003,94136140,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Stopped food completely,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFNO,"Amount of food given, None ",20
1704,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who never received food,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FNV,88261004,94136150,CH_DIFP_C_FDK,,CH_DIFP_C_FTO,I,0,Feeding practices during diarrhea: Never gave food,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFNV,"Amount of food given, Never gave food",20
1705,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey with 'don't know' or missing information on foods given,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FDK,88261009,94136160,,,,S,0,Feeding practices during diarrhea: don't know or missing on food given,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFDK,"Amount of food given, Don't know",20
1706,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey: Total,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FTO,88149000,94136170,,,,T,0,Feeding practices during diarrhea: Total,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFTO,"Amount of food given, Total ",20
1707,"Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received increased fluids and continued feeding. Continued feeding includes children given more food, the same as usual, or somewhat less food during the diarrhea episode.",Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FCF,,94136180,,,,I,0,Feeding practices during diarrhea: Given increased fluids and continued feeding,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFCF,Given increased fluids and continued feeding,20
1708,"Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received continued feeding, and ORT and/or increased fluids. ",Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_FAL,,94136190,,,,I,0,"Feeding practices during diarrhea: Continued feeding, and ORT and/or increased fluids",Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCFAL,Continued feeding and were given ORT and/or increased fluids,"20, 77"
1709,Number of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,,CH_DIFP_C_NUM,88149001,94136200,,,,D,0,Number of children born in the last five (or three) years who had diarrhea in the last two weeks,Child Health,Feeding practices during diarrhea,Children,Number,0,,CHDIFPCNUM,Number of children with diarrhea in the two weeks preceding the survey,20
1710,Number of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey (unweighted),Children under age five (or three) who had diarrhea in the two weeks preceding the survey,,CH_DIFP_C_NUM,CH_DIFP_C_UNW,,94136210,,,,U,0,Number of children born in the last five (or three) years who had diarrhea in the last two weeks (unweighted),Child Health,Feeding practices during diarrhea,Children,Number,0,,CHDIFPCUNW,Number of children with diarrhea in the two weeks preceding the survey (unweighted),20
1711,Percentage of women with a live birth in the five (or three) years preceding the survey who know about ORS packets or ORS pre-packaged liquids,Women who had a live birth in the five (or three) years preceding the survey,CH_KORS_W_UNW,CH_KORS_W_NUM,CH_KORS_W_ORS,,94163010,,,,I,0,Knowledge of ORS,Child Health,Knowledge of ORS packets or pre-packaged liquids,Women,Percent,1,,CHKORSWORS,Know about ORS packets or ORS pre-packaged liquids,20
1712,Number of women with a live birth in the five (or three) years preceding the survey,Women who had a live birth in the five (or three) years preceding the survey,CH_KORS_W_UNW,,CH_KORS_W_NUM,,94163020,,,,D,0,Number of women with a live birth in the last five years,Child Health,Knowledge of ORS packets or pre-packaged liquids,Women,Number,0,,CHKORSWNUM,Number of women,20
1713,Number of women with a live birth in the five (or three) years preceding the survey (unweighted),Women who had a live birth in the five (or three) years preceding the survey,,CH_DSTL_C_TLT,CH_KORS_W_UNW,,94163030,,,,U,0,Number of women with a live birth in the last five years (unweighted),Child Health,Knowledge of ORS packets or pre-packaged liquids,Women,Number,0,,CHKORSWUNW,Number of women (unweighted),20
1714,Percentage of mothers whose youngest child under five (or three) years is living with her and the child uses the toilet,Youngest children under age five (or three),CH_DSTL_C_UNW,CH_DSTL_C_NUM,CH_DSTL_C_TLT,141287001,94206010,CH_DSTL_C_DKM,,CH_DSTL_C_TOT,I,0,Disposal of stools: Child uses toilet,Child Health,Disposal of children's stools,Children,Percent,1,,CHDSTLCTLT,Child used toilet or latrine,
1715,Percentage of mothers whose youngest child under five (or three) years is living with her and the child's stools are thrown in toilet/latrine,Youngest children under age five (or three),CH_DSTL_C_UNW,CH_DSTL_C_NUM,CH_DSTL_C_RTL,141287002,94206020,CH_DSTL_C_DKM,,CH_DSTL_C_TOT,I,0,Disposal of stools: Throw in toilet/latrine,Child Health,Disposal of children's stools,Children,Percent,1,,CHDSTLCRTL,Put/rinsed into toilet or latrine,
1716,Percentage of mothers whose youngest child under five (or three) years is living with her and the child's stools are buried in the yard,Youngest children under age five (or three),CH_DSTL_C_UNW,CH_DSTL_C_NUM,CH_DSTL_C_BUR,141287003,94206030,CH_DSTL_C_DKM,,CH_DSTL_C_TOT,I,0,Disposal of stools: Bury in the yard,Child Health,Disposal of children's stools,Children,Percent,1,,CHDSTLCBUR,Buried,
1717,Percentage of mothers whose youngest child under five (or three) years is living with her and the child's stools are rinsed away,Youngest children under age five (or three),CH_DSTL_C_UNW,CH_DSTL_C_NUM,CH_DSTL_C_RDR,141287006,94206040,CH_DSTL_C_DKM,,CH_DSTL_C_TOT,I,0,Disposal of stools: Rinse away,Child Health,Disposal of children's stools,Children,Percent,1,,CHDSTLCRDR,Put/rinsed into drain or ditch,
